Case Number,Date,Block,Primary Type,Latitude,Longitude
HZ344684,06/19/2016 05:00:00 AM,058XX S STONY ISLAND AVE,CRIMINAL DAMAGE,41.788548789,-87.586647186
HZ345943,06/27/2016 08:00:00 PM,050XX S DR MARTIN LUTHER KING JR DR,OTHER OFFENSE,41.803483569,-87.6164353
HZ339110,07/07/2016 01:00:00 AM,040XX S LAKE PARK AVE,THEFT,41.822199933,-87.602134797
HZ340067,07/07/2016 08:20:00 PM,001XX W CERMAK RD,BATTERY,41.852868298,-87.63091491
HZ339938,07/07/2016 05:55:00 PM,055XX S EVERETT AVE,CRIMINAL DAMAGE,41.794792636,-87.582529785
HZ340257,07/08/2016 12:25:00 AM,065XX S EBERHART AVE,BATTERY,41.776157231,-87.613124884
HZ389924,08/13/2016 12:01:00 AM,043XX S ELLIS AVE,BATTERY,41.81600695,-87.601834735
HZ342126,07/09/2016 10:30:00 AM,013XX E 75TH ST,OTHER OFFENSE,41.758705721,-87.592751196
HZ390314,08/13/2016 12:00:00 PM,064XX S STONY ISLAND AVE,BATTERY,41.778047465,-87.586387726
HZ344372,07/11/2016 10:35:00 AM,073XX S KENWOOD AVE,NARCOTICS,41.761813552,-87.592099685
HZ344845,07/11/2016 07:30:00 AM,071XX S CYRIL AVE,OTHER OFFENSE,41.764832296,-87.576944743
HZ347036,07/11/2016 03:00:00 PM,020XX E 71ST ST,THEFT,41.766255307,-87.57467003
HZ344119,07/11/2016 07:00:00 AM,050XX S EAST END AVE,HOMICIDE,41.803060829,-87.585426093
HZ346231,07/12/2016 03:52:00 PM,065XX S PROMONTORY DR,BATTERY,41.776400433,-87.570448042
HZ346773,07/12/2016 10:43:00 PM,025XX E 73RD ST,ASSAULT,41.76265148,-87.563855639
HZ347481,07/12/2016 02:00:00 PM,075XX S STONY ISLAND AVE,THEFT,41.758536614,-87.586130225
HZ347024,07/13/2016 09:00:00 AM,006XX E 43RD ST,CRIMINAL DAMAGE,41.816736383,-87.611291068
HZ347283,07/13/2016 11:30:00 AM,031XX S LITUANICA AVE,BATTERY,41.836729527,-87.648676176
HZ348997,07/14/2016 05:15:00 PM,004XX E 70TH ST,ASSAULT,41.767540442,-87.614485921
HZ349459,07/14/2016 05:00:00 PM,073XX S MICHIGAN AVE,CRIMINAL DAMAGE,41.761014841,-87.621592446
HZ349969,07/14/2016 01:51:00 PM,005XX E 63RD ST,THEFT,41.780296311,-87.612359959
HZ349246,07/14/2016 07:36:00 PM,005XX E 79TH ST,THEFT,41.751164323,-87.612154658
HZ394403,08/13/2016 03:00:00 PM,040XX S WABASH AVE,ASSAULT,41.821320969,-87.624777162
HZ350603,07/15/2016 06:30:00 PM,006XX E BOWEN AVE,ASSAULT,41.819424749,-87.611128798
HZ350739,07/15/2016 07:00:00 PM,072XX S YALE AVE,BURGLARY,41.762655824,-87.630939362
HZ351604,07/15/2016 08:00:00 PM,005XX E 33RD PL,THEFT,41.833679765,-87.612645497
HZ390550,08/13/2016 10:00:00 AM,061XX S DR MARTIN LUTHER KING JR DR,BURGLARY,41.782951693,-87.615692426
HZ354338,07/15/2016 01:00:00 PM,020XX E 72ND PL,THEFT,41.763433017,-87.5753264
HZ350960,07/16/2016 12:50:00 AM,060XX S VERNON AVE,CRIMINAL DAMAGE,41.784971924,-87.614445236
HZ351490,07/16/2016 01:10:00 PM,074XX S COLFAX AVE,WEAPONS VIOLATION,41.76015914,-87.562140764
HZ351859,07/16/2016 07:15:00 PM,061XX S CALUMET AVE,BATTERY,41.783090389,-87.617249161
HZ353078,07/17/2016 07:09:00 PM,0000X W 75TH ST,CRIMINAL DAMAGE,41.758178665,-87.626714647
HZ359255,07/06/2016 10:00:00 AM,061XX S GREENWOOD AVE,DECEPTIVE PRACTICE,41.783675526,-87.599514748
HZ353437,07/18/2016 12:15:00 AM,067XX S ST LAWRENCE AVE,BATTERY,41.772343238,-87.610594066
HZ353699,07/18/2016 10:28:00 AM,055XX S STATE ST,BATTERY,41.793935909,-87.625680278
HZ354102,07/18/2016 02:25:00 PM,071XX S COTTAGE GROVE AVE,ASSAULT,41.765557778,-87.605564121
HZ356737,07/18/2016 01:45:00 PM,031XX S LAKE SHORE DR SB,THEFT,41.837879307,-87.608414956
HZ354881,07/19/2016 05:05:00 AM,061XX S ELLIS AVE,ROBBERY,41.783164395,-87.601126524
HZ354997,07/19/2016 08:35:00 AM,033XX S PRAIRIE AVE,ROBBERY,41.834237147,-87.620609318
HZ355361,07/19/2016 01:15:00 PM,021XX S ARCHER AVE,MOTOR VEHICLE THEFT,41.853612653,-87.633270614
HZ355272,07/19/2016 11:30:00 AM,072XX S YALE AVE,BATTERY,41.762655824,-87.630939362
HZ355913,07/19/2016 07:10:00 PM,076XX S ESSEX AVE,BATTERY,41.756713129,-87.563900924
HZ356367,07/19/2016 11:30:00 PM,017XX E 53RD ST,THEFT,41.799635102,-87.583188421
HZ356460,07/20/2016 08:35:00 AM,001XX W 71ST ST,OTHER OFFENSE,41.765452781,-87.628782842
HZ356687,07/20/2016 12:00:00 PM,077XX S PHILLIPS AVE,ASSAULT,41.754588681,-87.565077083
HZ356922,07/20/2016 03:30:00 AM,024XX E 78TH ST,BURGLARY,41.753567662,-87.564645811
HZ357513,07/20/2016 10:34:00 PM,070XX S VERNON AVE,ASSAULT,41.767054957,-87.614088121
HZ358105,07/20/2016 02:30:00 PM,026XX S INDIANA AVE,BATTERY,41.845105566,-87.622121892
HZ358049,07/21/2016 10:30:00 AM,018XX E 71ST ST,ASSAULT,41.766038786,-87.58013428
HZ359858,07/22/2016 09:40:00 AM,049XX S VINCENNES AVE,BURGLARY,41.804954928,-87.613869783
HZ360641,07/23/2016 04:10:00 AM,056XX S WABASH AVE,ROBBERY,41.792416366,-87.624028472
HZ361426,07/23/2016 05:30:00 PM,041XX S DREXEL BLVD,CRIMINAL DAMAGE,41.819494479,-87.604355742
HZ362401,07/23/2016 08:30:00 AM,064XX S STONY ISLAND AVE,THEFT,41.777792147,-87.586372357
HZ362174,07/24/2016 09:00:00 AM,020XX E 72ND PL,MOTOR VEHICLE THEFT,41.763433017,-87.5753264
HZ362348,07/24/2016 09:50:00 AM,011XX E 56TH ST,BURGLARY,41.793253855,-87.597491265
HZ362468,07/24/2016 03:40:00 PM,074XX S KENWOOD AVE,BATTERY,41.759801612,-87.592042204
HZ363010,07/24/2016 11:50:00 PM,068XX S PERRY AVE,BATTERY,41.770227581,-87.628290698
HZ366680,07/14/2016 01:00:00 PM,034XX S HALSTED ST,DECEPTIVE PRACTICE,41.831459013,-87.646123467
HZ363094,07/25/2016 01:33:00 AM,051XX S CALUMET AVE,BATTERY,41.801513039,-87.617733588
HZ363335,07/25/2016 08:50:00 AM,077XX S SOUTH SHORE DR,BATTERY,41.756476826,-87.552872024
HZ363252,07/25/2016 07:00:00 AM,076XX S RHODES AVE,BATTERY,41.756025278,-87.611407556
HZ363788,07/25/2016 02:15:00 PM,044XX S DREXEL BLVD,DECEPTIVE PRACTICE,41.814303088,-87.604476974
HZ363747,07/25/2016 10:48:00 AM,0000X W 36TH ST,CRIMINAL DAMAGE,41.829172913,-87.627101228
HZ363632,07/25/2016 12:13:00 PM,078XX S MERRILL AVE,THEFT,41.752496463,-87.57234001
HZ364578,07/25/2016 11:33:00 PM,076XX S STATE ST,CRIMINAL TRESPASS,41.756259091,-87.624719943
HZ365155,07/25/2016 11:00:00 AM,063XX S ST LAWRENCE AVE,BURGLARY,41.779721123,-87.61078987
HZ365316,07/26/2016 09:00:00 AM,056XX S DORCHESTER AVE,BURGLARY,41.792551987,-87.59162096
HZ366379,07/27/2016 08:25:00 AM,060XX S LANGLEY AVE,THEFT,41.785187197,-87.608524835
HZ367373,07/27/2016 08:45:00 PM,002XX W 37TH PL,BATTERY,41.826368102,-87.632899746
HZ367884,07/27/2016 09:00:00 PM,041XX S ELLIS AVE,MOTOR VEHICLE THEFT,41.819121577,-87.602246858
HZ366232,07/26/2016 04:00:00 PM,013XX E 76TH ST,BATTERY,41.756894789,-87.591522234
HZ369691,07/29/2016 01:00:00 PM,076XX S COLES AVE,OTHER OFFENSE,41.757815923,-87.556498909
HZ370480,07/30/2016 01:40:00 AM,066XX S MARQUETTE RD,BATTERY,41.774189299,-87.613080911
HZ372502,07/30/2016 11:28:00 AM,032XX S UNION AVE,DECEPTIVE PRACTICE,41.835629984,-87.643781713
HZ372764,07/30/2016 11:45:00 PM,040XX S INDIANA AVE,THEFT,41.821553466,-87.621546109
HZ372036,07/31/2016 06:15:00 AM,060XX S DREXEL AVE,CRIMINAL DAMAGE,41.785438415,-87.60442266
HZ372634,07/31/2016 04:24:00 PM,063XX S DR MARTIN LUTHER KING JR DR,THEFT,41.779276522,-87.615601416
HZ376169,07/31/2016 03:59:00 PM,052XX S CALUMET AVE,OTHER OFFENSE,41.799742941,-87.61772761
HZ373327,08/01/2016 12:30:00 AM,028XX S ARCHER AVE,CRIMINAL DAMAGE,41.842983882,-87.655182412
HZ374596,08/02/2016 02:40:00 AM,078XX S ESCANABA AVE,BATTERY,41.752950248,-87.554061838
HZ375552,08/02/2016 06:00:00 PM,069XX S KIMBARK AVE,THEFT,41.769284934,-87.594022515
HZ375581,08/02/2016 06:10:00 PM,003XX E 51ST ST,ROBBERY,41.802092455,-87.616912928
HZ376061,08/02/2016 10:30:00 PM,025XX S HILLOCK AVE,MOTOR VEHICLE THEFT,41.845900828,-87.655147938
HZ376555,08/02/2016 02:30:00 PM,040XX S LAKE PARK AVE,ASSAULT,41.821789385,-87.601875318
HZ377060,08/03/2016 06:30:00 AM,030XX S HALSTED ST,THEFT,41.839130324,-87.646305618
HZ377128,08/03/2016 08:00:00 AM,076XX S KINGSTON AVE,CRIMINAL DAMAGE,41.756543074,-87.562686166
HZ377657,08/04/2016 09:05:00 AM,048XX S DREXEL BLVD,BATTERY,41.807067906,-87.603843747
HZ378727,08/04/2016 11:10:00 PM,003XX E 50TH ST,ASSAULT,41.80390529,-87.617611609
HZ379065,08/05/2016 12:30:00 AM,045XX S WELLS ST,THEFT,41.812340927,-87.63225292
HZ380869,08/06/2016 02:06:00 PM,006XX E 71ST ST,DECEPTIVE PRACTICE,41.765815682,-87.609028827
HZ380309,08/06/2016 03:30:00 AM,033XX S LITUANICA AVE,BATTERY,41.833312433,-87.648595173
HZ381906,08/06/2016 05:00:00 PM,004XX E 34TH ST,THEFT,41.833139425,-87.615319213
HZ382029,08/06/2016 07:30:00 PM,053XX S CORNELL AVE,MOTOR VEHICLE THEFT,41.798879058,-87.585504059
HZ382319,08/06/2016 08:00:00 PM,066XX S HARTWELL AVE,THEFT,41.773495383,-87.621509473
HZ381552,08/07/2016 01:00:00 AM,019XX E 73RD PL,ASSAULT,41.761595148,-87.577114714
HZ381576,08/07/2016 01:30:00 AM,067XX S WABASH AVE,CRIMINAL DAMAGE,41.771970728,-87.62347293
HZ381895,08/07/2016 09:40:00 AM,068XX S STONY ISLAND AVE,DECEPTIVE PRACTICE,41.770988374,-87.586268005
HZ382602,08/07/2016 07:39:00 PM,029XX E 79TH ST,INTERFERENCE WITH PUBLIC OFFICER,41.751901623,-87.553612761
HZ383214,08/07/2016 04:00:00 AM,053XX S LAKE SHORE DR NB,THEFT,41.799298234,-87.581193581
HZ384665,08/08/2016 08:00:00 AM,0000X E 36TH PL,THEFT,41.828743353,-87.624192644
HZ385928,08/10/2016 07:00:00 AM,056XX S MICHIGAN AVE,THEFT,41.792425533,-87.622403855
HZ386825,08/10/2016 07:58:00 PM,078XX S MUSKEGON AVE,THEFT,41.752921738,-87.555524446
HZ386168,08/10/2016 01:00:00 PM,050XX S STATE ST,BATTERY,41.803040151,-87.625917535
HZ392781,08/03/2016 10:00:00 AM,060XX S EBERHART AVE,BURGLARY,41.785085247,-87.613259639
HZ388136,08/11/2016 07:25:00 AM,053XX S WOODLAWN AVE,ASSAULT,41.798758819,-87.596625123
HZ388259,08/11/2016 09:10:00 PM,003XX E 71ST ST,WEAPONS VIOLATION,41.765690843,-87.616251372
HZ388621,08/11/2016 11:30:00 PM,005XX E 35TH ST,CRIMINAL DAMAGE,41.831200459,-87.614199733
HZ392165,08/14/2016 07:43:00 PM,070XX S SOUTH SHORE DR,BATTERY,41.76677448,-87.566478603
HZ392871,08/15/2016 11:00:00 AM,045XX S DREXEL BLVD,BATTERY,41.812244589,-87.604430616
HZ393496,08/15/2016 06:35:00 PM,005XX E 71ST ST,BATTERY,41.765778056,-87.611334886
HZ394057,08/15/2016 09:00:00 PM,006XX E 71ST ST,CRIMINAL DAMAGE,41.765815405,-87.608984843
HZ394771,08/15/2016 07:30:00 PM,062XX S DORCHESTER AVE,THEFT,41.782160628,-87.591388746
HZ393675,08/15/2016 07:00:00 PM,071XX S BENNETT AVE,ASSAULT,41.7652186,-87.57935212
HZ386599,08/10/2016 05:50:00 PM,078XX S BURNHAM AVE,ROBBERY,41.752972888,-87.557000753
HZ395229,08/16/2016 11:48:00 PM,063XX S ELLIS AVE,BATTERY,41.779419504,-87.600432194
HZ395230,08/16/2016 04:00:00 PM,047XX S PRINCETON AVE,THEFT,41.80841776,-87.633341075
HZ394123,08/16/2016 01:00:00 AM,076XX S STATE ST,THEFT,41.756259091,-87.624719943
HZ395482,08/17/2016 07:47:00 AM,017XX E 55TH ST,OFFENSE INVOLVING CHILDREN,41.795251156,-87.581724977
HZ395640,08/17/2016 08:52:00 AM,016XX E 53RD ST,BATTERY,41.799594757,-87.58499696
HZ396000,08/17/2016 02:05:00 PM,063XX S STATE ST,BATTERY,41.779800967,-87.625377411
HZ403745,08/17/2016 10:00:00 AM,071XX S VERNON AVE,CRIMINAL DAMAGE,41.765070557,-87.614044305
HZ403840,08/16/2016 11:30:00 AM,002XX E 68TH ST,THEFT,41.771072445,-87.61978398
HZ397674,08/18/2016 04:00:00 PM,029XX S POPLAR AVE,THEFT,41.84097894,-87.649353839
HZ398219,08/18/2016 02:00:00 PM,075XX S CALUMET AVE,BURGLARY,41.757699431,-87.616688526
HZ404014,08/19/2016 04:00:00 PM,013XX E 53RD ST,DECEPTIVE PRACTICE,41.799482041,-87.594291658
HZ399598,08/20/2016 03:35:00 AM,008XX E 44TH ST,ROBBERY,41.815005617,-87.605774947
HZ401561,08/21/2016 02:45:00 PM,016XX E 78TH ST,DECEPTIVE PRACTICE,41.753318978,-87.584754123
HZ401853,08/21/2016 09:00:00 PM,014XX E 76TH ST,ASSAULT,41.756909466,-87.589971748
HZ409208,08/20/2016 04:50:00 PM,004XX E 34TH ST,DECEPTIVE PRACTICE,41.833139425,-87.615319213
HZ402564,08/22/2016 07:00:00 AM,016XX E HYDE PARK BLVD,OTHER OFFENSE,41.802499513,-87.586041451
HZ403308,08/22/2016 08:47:00 PM,006XX E 41ST ST,BATTERY,41.820321946,-87.611100374
HZ405407,08/22/2016 01:30:00 PM,035XX S WENTWORTH AVE,THEFT,41.830871136,-87.631500365
HZ404467,08/23/2016 09:00:00 AM,052XX S KIMBARK AVE,BURGLARY,41.80063404,-87.595052273
HZ404987,08/24/2016 08:20:00 AM,029XX S LYMAN ST,THEFT,41.840885737,-87.653531117
HZ405946,08/24/2016 06:35:00 PM,015XX E 53RD ST,THEFT,41.799546886,-87.588609986
HZ336712,07/05/2016 01:48:00 PM,060XX S DREXEL AVE,OFFENSE INVOLVING CHILDREN,41.784938875,-87.604409985
HZ413295,08/18/2016 10:00:00 AM,062XX S KIMBARK AVE,DECEPTIVE PRACTICE,41.781811321,-87.594674264
HZ407688,08/25/2016 06:30:00 PM,052XX S DORCHESTER AVE,CRIMINAL TRESPASS,41.800610439,-87.591814105
HZ407927,08/25/2016 08:00:00 PM,006XX E 62ND ST,CRIMINAL DAMAGE,41.782157002,-87.610186884
HZ413380,08/25/2016 10:00:00 PM,031XX S SHIELDS AVE,THEFT,41.837472314,-87.635303393
HZ407769,08/26/2016 02:00:00 AM,076XX S PRAIRIE AVE,BURGLARY,41.755719587,-87.618257176
HZ408466,08/26/2016 07:15:00 PM,066XX S COTTAGE GROVE AVE,THEFT,41.774412347,-87.605797641
HZ408462,08/26/2016 01:00:00 PM,071XX S INGLESIDE AVE,SEX OFFENSE,41.765202349,-87.601884286
HZ409368,08/26/2016 06:30:00 PM,051XX S INDIANA AVE,ASSAULT,41.800693565,-87.620995822
HZ409052,08/27/2016 09:00:00 AM,060XX S INDIANA AVE,BATTERY,41.78495812,-87.620598031
HZ409114,08/27/2016 09:30:00 AM,029XX S DEARBORN ST,BATTERY,41.841855999,-87.628741678
HZ409800,08/27/2016 07:20:00 PM,075XX S COLES AVE,ASSAULT,41.759457709,-87.558227405
HZ408944,08/27/2016 05:00:00 AM,072XX S INDIANA AVE,BATTERY,41.763167652,-87.620029182
HZ411332,08/28/2016 04:00:00 PM,059XX S INDIANA AVE,THEFT,41.786651593,-87.620637942
HZ415124,08/28/2016 07:00:00 PM,008XX E 55TH ST,DECEPTIVE PRACTICE,41.794965928,-87.605620246
HZ411771,08/29/2016 01:00:00 AM,009XX E 40TH ST,THEFT,41.822130356,-87.603276576
HZ413570,08/29/2016 06:00:00 PM,037XX S WABASH AVE,THEFT,41.826069047,-87.624856894
HZ412896,08/30/2016 05:01:00 AM,077XX S SOUTH SHORE DR,ROBBERY,41.756017923,-87.552379145
HZ413650,08/30/2016 01:50:00 PM,004XX E 37TH ST,PUBLIC PEACE VIOLATION,41.827489435,-87.616270267
HZ414685,08/31/2016 11:40:00 AM,071XX S CHAMPLAIN AVE,CRIMINAL DAMAGE,41.765042909,-87.609206132
HZ415213,08/31/2016 03:00:00 PM,066XX S MARYLAND AVE,CRIMINAL DAMAGE,41.774091737,-87.604573143
HZ415301,08/31/2016 10:46:00 AM,005XX E 32ND ST,DECEPTIVE PRACTICE,41.836069707,-87.613033345
HZ415946,08/31/2016 09:45:00 PM,049XX S PRAIRIE AVE,BATTERY,41.804775828,-87.619472488
HZ417959,09/02/2016 08:30:00 AM,009XX E 52ND ST,CRIMINAL TRESPASS,41.80084282,-87.603675967
HZ418150,09/02/2016 07:58:00 PM,065XX S DR MARTIN LUTHER KING JR DR,BATTERY,41.775796226,-87.615515573
HZ418817,09/03/2016 11:15:00 AM,042XX S INDIANA AVE,MOTOR VEHICLE THEFT,41.81762024,-87.621435587
HZ420297,09/04/2016 02:55:00 PM,008XX W 31ST ST,CRIMINAL TRESPASS,41.838026358,-87.647554109
HZ420786,09/04/2016 09:15:00 PM,076XX S LUELLA AVE,ASSAULT,41.756679643,-87.56998895
HZ426289,09/04/2016 10:00:00 PM,034XX S MICHIGAN AVE,CRIMINAL DAMAGE,41.832423324,-87.623289726
HZ428527,09/04/2016 07:00:00 AM,067XX S STONY ISLAND AVE,DECEPTIVE PRACTICE,41.773109884,-87.586294711
HZ421475,09/05/2016 02:24:00 PM,041XX S LA SALLE ST,WEAPONS VIOLATION,41.819354955,-87.629505668
HZ421631,09/05/2016 02:00:00 PM,037XX S WALLACE ST,ASSAULT,41.826431687,-87.641124994
HZ421651,09/05/2016 05:17:00 PM,070XX S STONY ISLAND AVE,DECEPTIVE PRACTICE,41.767448959,-87.585957168
HZ422437,09/05/2016 08:00:00 PM,073XX S BENNETT AVE,MOTOR VEHICLE THEFT,41.761765725,-87.579267923
HZ421944,09/05/2016 04:15:00 PM,036XX S MORGAN ST,MOTOR VEHICLE THEFT,41.828120295,-87.650903344
HZ422412,09/06/2016 01:00:00 AM,0000X E 37TH ST,MOTOR VEHICLE THEFT,41.827366114,-87.626035041
HZ423680,09/07/2016 03:25:00 AM,004XX E 62ND ST,NARCOTICS,41.782087594,-87.613993478
HZ423990,09/07/2016 07:30:00 AM,009XX E 61ST ST,THEFT,41.784103013,-87.601999496
HZ424568,09/07/2016 07:00:00 AM,051XX S KIMBARK AVE,BURGLARY,41.801786788,-87.595075716
HZ424773,09/07/2016 03:00:00 PM,035XX S HALSTED ST,ASSAULT,41.829427968,-87.646075476
HZ428255,09/07/2016 10:00:00 AM,072XX S SOUTH SHORE DR,CRIMINAL DAMAGE,41.764816446,-87.561359225
HZ431439,09/05/2016 07:00:00 AM,002XX W 37TH PL,THEFT,41.826358446,-87.633116323
HZ425043,09/08/2016 02:22:00 AM,078XX S CONSTANCE AVE,BURGLARY,41.752459682,-87.579666374
HZ425462,09/08/2016 11:40:00 AM,044XX S VINCENNES AVE,CRIMINAL DAMAGE,41.813578031,-87.613964038
HZ425923,09/08/2016 04:46:00 PM,068XX S CORNELL AVE,BATTERY,41.770991215,-87.585017916
HZ425686,09/08/2016 01:56:00 PM,015XX E 75TH ST,OTHER OFFENSE,41.758754602,-87.587157605
HZ426791,09/09/2016 10:21:00 AM,042XX S DR MARTIN LUTHER KING JR DR,NARCOTICS,41.818176174,-87.61683641
HZ426493,09/09/2016 06:15:00 AM,077XX S BENNETT AVE,ASSAULT,41.754386686,-87.578489384
HZ427095,09/09/2016 01:45:00 PM,006XX E MARQUETTE RD,ARSON,41.774904599,-87.608999896
HZ427332,09/09/2016 03:00:00 PM,077XX S MARYLAND AVE,DECEPTIVE PRACTICE,41.754307458,-87.604038357
HZ429106,09/09/2016 08:00:00 PM,067XX S EBERHART AVE,OTHER OFFENSE,41.772366665,-87.61301332
HZ427809,09/10/2016 12:01:00 AM,061XX S EVANS AVE,CRIMINAL DAMAGE,41.783241673,-87.607248787
HZ428157,09/10/2016 10:03:00 AM,0000X W 69TH ST,THEFT,41.769185486,-87.625732415
HZ428105,09/10/2016 03:30:00 AM,071XX S JEFFERY BLVD,ROBBERY,41.765815941,-87.576291717
HZ428430,09/10/2016 02:10:00 PM,067XX S CHAPPEL AVE,ASSAULT,41.773007423,-87.575261338
HZ428946,09/10/2016 10:00:00 PM,048XX S VINCENNES AVE,CRIMINAL DAMAGE,41.80632976,-87.613861736
HZ429143,09/10/2016 11:00:00 PM,069XX S VERNON AVE,BURGLARY,41.768742947,-87.614127918
HZ430940,09/10/2016 09:33:00 AM,067XX S EAST END AVE,DECEPTIVE PRACTICE,41.772599929,-87.58384078
HZ429289,09/11/2016 08:50:00 AM,065XX S KIMBARK AVE,ASSAULT,41.776195719,-87.594551732
HZ429555,09/11/2016 01:15:00 PM,071XX S JEFFERY BLVD,THEFT,41.765755571,-87.576292427
HZ429796,09/11/2016 02:00:00 AM,077XX S COLES AVE,MOTOR VEHICLE THEFT,41.755565671,-87.554077844
HZ429645,09/11/2016 01:59:00 PM,078XX S STEWART AVE,BATTERY,41.752470539,-87.634345074
HZ430082,09/11/2016 01:00:00 PM,054XX S PRINCETON AVE,CRIMINAL DAMAGE,41.795391477,-87.633024431
HZ430266,09/11/2016 05:30:00 PM,029XX S INDIANA AVE,CRIMINAL DAMAGE,41.840949723,-87.621955063
HZ436674,09/08/2016 12:01:00 AM,070XX S MERRILL AVE,DECEPTIVE PRACTICE,41.766829259,-87.572654511
HZ430857,09/12/2016 01:00:00 PM,045XX S DREXEL BLVD,THEFT,41.812244589,-87.604430616
HZ431550,09/12/2016 06:50:00 PM,072XX S CONSTANCE AVE,BATTERY,41.763041808,-87.58052121
HZ431525,09/12/2016 08:15:00 PM,064XX S MARYLAND AVE,BATTERY,41.777418206,-87.604634472
HZ431792,09/13/2016 04:53:00 AM,070XX S DORCHESTER AVE,OTHER OFFENSE,41.766397672,-87.591002227
HZ433865,09/13/2016 06:00:00 PM,047XX S COTTAGE GROVE AVE,ROBBERY,41.808981361,-87.606551046
HZ433959,09/14/2016 03:15:00 PM,030XX S HALSTED ST,THEFT,41.839262062,-87.646307879
HZ434037,09/14/2016 04:14:00 PM,070XX S STEWART AVE,BURGLARY,41.76671836,-87.634699958
HZ438210,09/14/2016 02:00:00 PM,0000X W 79TH ST,OTHER OFFENSE,41.750934303,-87.626365331
HZ435240,09/15/2016 03:00:00 AM,075XX S BLACKSTONE AVE,ASSAULT,41.757450465,-87.588334543
HZ435565,09/15/2016 05:30:00 PM,067XX S STONY ISLAND AVE,ROBBERY,41.773109884,-87.586294711
HZ436235,09/16/2016 07:00:00 AM,063XX S DR MARTIN LUTHER KING JR DR,CRIMINAL TRESPASS,41.779013043,-87.615597022
HZ436536,09/16/2016 06:54:00 AM,064XX S DR MARTIN LUTHER KING JR DR,BATTERY,41.777484213,-87.615555409
HZ436386,09/16/2016 09:30:00 AM,032XX S WALLACE ST,BATTERY,41.83571965,-87.641351509
HZ438750,09/16/2016 11:05:00 AM,074XX S ELLIS AVE,ASSAULT,41.759823275,-87.600552592
HZ438268,09/17/2016 03:55:00 PM,015XX E 72ND ST,THEFT,41.764221654,-87.587644083
HZ434587,09/14/2016 11:13:00 PM,078XX S ESSEX AVE,WEAPONS VIOLATION,41.752642802,-87.56382127
HZ438808,09/18/2016 01:20:00 AM,070XX S COTTAGE GROVE AVE,BATTERY,41.76680404,-87.605619683
HZ439875,09/18/2016 05:00:00 PM,063XX S DREXEL AVE,CRIMINAL DAMAGE,41.779731416,-87.602870433
HZ440147,09/18/2016 09:00:00 PM,077XX S COLES AVE,MOTOR VEHICLE THEFT,41.755902933,-87.554440264
HZ440105,09/19/2016 12:01:00 AM,028XX S WELLS ST,THEFT,41.842052099,-87.632985614
HZ440410,09/19/2016 09:30:00 AM,009XX E 40TH ST,ASSAULT,41.822127659,-87.603283944
HZ441598,09/19/2016 09:00:00 PM,077XX S COLES AVE,CRIMINAL DAMAGE,41.755734302,-87.554259054
HZ441064,09/19/2016 04:48:00 PM,070XX S INDIANA AVE,BATTERY,41.766735948,-87.620143612
HZ442108,09/20/2016 09:17:00 AM,065XX S EBERHART AVE,ASSAULT,41.775934913,-87.613120039
HZ441907,09/20/2016 10:51:00 AM,071XX S CYRIL AVE,SEX OFFENSE,41.764900898,-87.576943938
HZ450287,09/13/2016 02:00:00 PM,072XX S CONSTANCE AVE,THEFT,41.762973182,-87.580518347
HZ441512,09/20/2016 04:58:00 AM,0000X E 71ST ST,ASSAULT,41.765564555,-87.622425559
HZ443341,09/21/2016 10:45:00 AM,071XX S DREXEL AVE,ROBBERY,41.765437873,-87.603102235
HZ443962,09/21/2016 05:55:00 PM,074XX S HARVARD AVE,BATTERY,41.758553674,-87.633282145
HZ444834,09/22/2016 08:00:00 AM,027XX S NORMAL AVE,CRIMINAL DAMAGE,41.844171584,-87.639920881
HZ445219,09/22/2016 04:26:00 PM,050XX S BLACKSTONE AVE,CRIMINAL TRESPASS,41.803667488,-87.590528166
HZ444769,09/22/2016 11:00:00 AM,016XX E 50TH PL,CRIMINAL DAMAGE,41.803417249,-87.585796054
HZ446116,09/23/2016 10:03:00 AM,009XX W 31ST PL,BATTERY,41.83719701,-87.650219779
HZ446262,09/23/2016 10:50:00 AM,056XX S INDIANA AVE,CRIMINAL TRESPASS,41.792204174,-87.620781792
HZ446366,09/23/2016 12:55:00 PM,071XX S JEFFERY BLVD,THEFT,41.765519532,-87.576287871
HZ447437,09/24/2016 07:20:00 AM,070XX S DORCHESTER AVE,MOTOR VEHICLE THEFT,41.7675148,-87.591033336
HZ447455,09/24/2016 06:37:00 AM,047XX S INGLESIDE AVE,CRIMINAL TRESPASS,41.808669339,-87.602787534
HZ447526,09/24/2016 09:30:00 AM,062XX S RHODES AVE,CRIMINAL DAMAGE,41.781392085,-87.612050702
HZ447571,09/24/2016 09:35:00 AM,066XX S DREXEL AVE,CRIMINAL TRESPASS,41.774473741,-87.603362688
HZ449046,09/24/2016 04:00:00 PM,048XX S PRAIRIE AVE,OFFENSE INVOLVING CHILDREN,41.806837117,-87.619526631
HZ450763,09/24/2016 10:00:00 AM,072XX S ST LAWRENCE AVE,MOTOR VEHICLE THEFT,41.762991988,-87.610365467
HZ448977,09/25/2016 02:00:00 AM,031XX S LITUANICA AVE,CRIMINAL DAMAGE,41.837448631,-87.648694199
