Case Number,Date,Block,Primary Type,Latitude,Longitude
HZ218938,04/09/2016 03:30:00 AM,002XX E 71ST ST,BATTERY,41.765620989,-87.619576803
HZ218911,04/09/2016 02:42:00 AM,038XX S UNION AVE,CRIMINAL DAMAGE,41.824596449,-87.643518551
HZ219121,04/09/2016 05:00:00 AM,011XX E 73RD ST,CRIMINAL DAMAGE,41.762315831,-87.597661586
HZ219794,04/09/2016 05:30:00 PM,035XX S LAKE SHORE DR SB,THEFT,41.830978693,-87.606001383
HZ133698,01/29/2016 10:30:00 PM,064XX S DR MARTIN LUTHER KING JR DR,BATTERY,41.777558327,-87.615558249
HZ219821,04/09/2016 06:02:00 PM,071XX S HARVARD AVE,OTHER OFFENSE,41.764509637,-87.633419006
HZ133001,01/29/2016 03:00:00 AM,003XX E 71ST ST,ROBBERY,41.765688442,-87.616306382
HZ220933,04/10/2016 06:01:00 PM,004XX E 75TH ST,CRIMINAL DAMAGE,41.758425342,-87.614279783
HZ222388,04/11/2016 09:01:00 PM,069XX S VERNON AVE,ROBBERY,41.76870453,-87.614128347
HZ227706,04/11/2016 10:00:00 AM,077XX S ESSEX AVE,DECEPTIVE PRACTICE,41.754624469,-87.563863568
HZ222777,04/12/2016 09:00:00 AM,054XX S WENTWORTH AVE,ROBBERY,41.795991039,-87.630542489
HZ224970,04/12/2016 06:02:00 PM,039XX S STATE ST,THEFT,41.823274065,-87.62642495
HZ224451,04/13/2016 01:48:00 PM,064XX S DR MARTIN LUTHER KING JR DR,CRIMINAL DAMAGE,41.777558327,-87.615558249
HZ225277,04/13/2016 08:15:00 PM,036XX S PRAIRIE AVE,BURGLARY,41.828478959,-87.620493405
HZ227062,04/15/2016 01:05:00 PM,036XX S CALUMET AVE,OTHER OFFENSE,41.828490361,-87.618354173
HZ224359,04/13/2016 12:35:00 PM,029XX S STATE ST,BATTERY,41.841103444,-87.626852618
HZ100063,01/01/2016 01:00:00 AM,076XX S JEFFERY BLVD,CRIMINAL TRESPASS,41.756604794,-87.576095781
HZ100288,01/01/2016 05:37:00 AM,050XX S DR MARTIN LUTHER KING JR DR,BATTERY,41.802678384,-87.616257225
HZ100526,01/01/2016 01:45:00 AM,053XX S DREXEL AVE,BATTERY,41.798462192,-87.603897346
HZ101730,01/02/2016 01:00:00 PM,032XX S NORMAL AVE,BURGLARY,41.835323407,-87.638900863
HZ102095,01/02/2016 08:20:00 PM,004XX E 50TH PL,BATTERY,41.8030215,-87.615391494
HZ103885,01/04/2016 03:32:00 PM,068XX S HARPER AVE,CRIMINAL DAMAGE,41.770944848,-87.588017121
HZ105171,01/04/2016 06:30:00 PM,064XX S MARYLAND AVE,BATTERY,41.777445647,-87.604634161
HZ105336,01/05/2016 06:20:00 PM,036XX S RHODES AVE,THEFT,41.82838628,-87.614429363
HZ105860,01/05/2016 06:56:00 PM,039XX S MICHIGAN AVE,OTHER OFFENSE,41.823320055,-87.623203203
HZ106260,01/06/2016 04:05:00 PM,001XX W 71ST ST,OFFENSE INVOLVING CHILDREN,41.765452668,-87.628764515
HZ106461,01/06/2016 11:20:00 AM,034XX S DR MARTIN LUTHER KING JR DR,THEFT,41.832062556,-87.617338376
HZ106653,01/06/2016 10:02:00 PM,036XX S UNION AVE,ASSAULT,41.827977853,-87.643595993
HZ106914,01/07/2016 08:55:00 AM,031XX S LITUANICA AVE,ASSAULT,41.837813661,-87.648701317
HZ107679,01/07/2016 07:30:00 PM,061XX S INDIANA AVE,BATTERY,41.783050539,-87.620549493
HZ108048,01/08/2016 07:45:00 AM,007XX W 28TH ST,ROBBERY,41.843515066,-87.645748583
HZ109702,01/08/2016 12:00:00 PM,053XX S HYDE PARK BLVD,THEFT,41.799248277,-87.584047451
HZ110335,01/06/2016 10:30:00 PM,075XX S KINGSTON AVE,BATTERY,41.758560412,-87.562728003
HZ110430,01/10/2016 03:32:00 AM,052XX S HARPER AVE,BATTERY,41.800203231,-87.589104836
HZ110928,01/09/2016 09:00:00 PM,003XX E 29TH ST,THEFT,41.842037919,-87.619979608
HZ110873,01/10/2016 03:04:00 PM,078XX S INGLESIDE AVE,BATTERY,41.752601317,-87.601576596
HZ111186,01/10/2016 09:14:00 PM,064XX S DR MARTIN LUTHER KING JR DR,WEAPONS VIOLATION,41.777522654,-87.615558647
HZ111222,01/10/2016 10:25:00 PM,072XX S WENTWORTH AVE,BATTERY,41.763120366,-87.62971738
HZ111710,01/11/2016 11:45:00 AM,066XX S INGLESIDE AVE,BATTERY,41.774114711,-87.602142304
HZ226481,04/14/2016 03:00:00 AM,001XX E 72ND ST,THEFT,41.763769309,-87.621019519
HZ111731,01/11/2016 01:00:00 AM,005XX E 79TH ST,BURGLARY,41.751188711,-87.610794771
HZ111942,01/04/2016 12:00:00 PM,027XX S INDIANA AVE,DECEPTIVE PRACTICE,41.843892459,-87.622098627
HZ226437,04/14/2016 08:30:00 PM,075XX S VERNON AVE,OTHER OFFENSE,41.757453987,-87.613861811
HZ113232,01/12/2016 05:30:00 PM,076XX S VINCENNES AVE,MOTOR VEHICLE THEFT,41.756091788,-87.632341337
HZ113469,01/12/2016 09:06:00 PM,068XX S DORCHESTER AVE,BURGLARY,41.770995109,-87.591117851
HZ113499,01/11/2016 03:00:00 PM,069XX S SOUTH SHORE DR,THEFT,41.76916785,-87.566530745
HZ113598,01/13/2016 12:45:00 AM,076XX S EXCHANGE AVE,BATTERY,41.75702248,-87.558073456
HZ114130,01/13/2016 01:25:00 PM,002XX E 78TH ST,MOTOR VEHICLE THEFT,41.752864132,-87.619358999
HZ114238,01/13/2016 02:45:00 PM,024XX E 77TH ST,BATTERY,41.755368881,-87.565610193
HZ115882,01/14/2016 03:00:00 PM,072XX S STONY ISLAND AVE,THEFT,41.763027016,-87.586243072
HZ115887,01/14/2016 03:00:00 PM,061XX S PRAIRIE AVE,BURGLARY,41.783142005,-87.618927866
